["port 1","LEFT"]
["port 2","LEFT"]
["port 3","LEFT"]
["port 4","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(100, 3)
1.9034441777777778e+14 5.1045766774457260e-04 -2.6514360120746403e+00
1.9041398810591294e+14 4.9984900886011275e-04 -2.6509382504078931e+00
1.9048355843404809e+14 4.8926981016918973e-04 -2.6503198434989197e+00
1.9055312876218325e+14 4.7871941770797737e-04 -2.6495754669214078e+00
1.9062269909031841e+14 4.6819723892386317e-04 -2.6486993865663457e+00
1.9069226941845353e+14 4.5770274391506647e-04 -2.6476854109277070e+00
1.9076183974658869e+14 4.4723546676040077e-04 -2.6465268371732478e+00
1.9083141007472384e+14 4.3679500697210651e-04 -2.6452163899847556e+00
1.9090098040285900e+14 4.2638103110431534e-04 -2.6437461520857894e+00
1.9097055073099416e+14 4.1599327454504813e-04 -2.6421074850714068e+00
1.9104012105912931e+14 4.0563154354336943e-04 -2.6402909389508551e+00
1.9110969138726447e+14 3.9529571750689357e-04 -2.6382861484760145e+00
1.9117926171539962e+14 3.8498575164847926e-04 -2.6360817139819548e+00
1.9124883204353475e+14 3.7470168003280233e-04 -2.6336650639553341e+00
1.9131840237166991e+14 3.6444361912671392e-04 -2.6310222960281795e+00
1.9138797269980506e+14 3.5421177194774287e-04 -2.6281379923382939e+00
1.9145754302794022e+14 3.4400643293855604e-04 -2.6249950043395303e+00
1.9152711335607538e+14 3.3382799373068490e-04 -2.6215742010522733e+00
1.9159668368421053e+14 3.2367694998117517e-04 -2.6178541733507790e+00
1.9166625401234569e+14 3.1355390952387575e-04 -2.6138108851219548e+00
1.9173582434048084e+14 3.0345960213503889e-04 -2.6094172599670706e+00
1.9180539466861597e+14 2.9339489128102375e-04 -2.6046426892351411e+00
1.9187496499675112e+14 2.8336078831668187e-04 -2.5994524435556228e+00
1.9194453532488628e+14 2.7335846974047522e-04 -2.5938069653714275e+00
1.9201410565302144e+14 2.6338929825127767e-04 -2.5876610137975624e+00
1.9208367598115659e+14 2.5345484861344174e-04 -2.5809626252092208e+00
1.9215324630929175e+14 2.4355693958146899e-04 -2.5736518422755426e+00
1.9222281663742691e+14 2.3369767357656035e-04 -2.5656591503068684e+00
1.9229238696556206e+14 2.2387948630685651e-04 -2.5569035408217031e+00
1.9236195729369719e+14 2.1410520927322323e-04 -2.5472900972249106e+00
1.9243152762183234e+14 2.0437814911093623e-04 -2.5367069630232812e+00
1.9250109794996750e+14 1.9470218912338885e-04 -2.5250215064484136e+00
1.9257066827810266e+14 1.8508192035271109e-04 -2.5120754311088311e+00
1.9264023860623781e+14 1.7552281237154195e-04 -2.4976784938167840e+00
1.9270980893437297e+14 1.6603143804464285e-04 -2.4816003681474932e+00
1.9277937926250812e+14 1.5661577244168438e-04 -2.4635600226749697e+00
1.9284894959064328e+14 1.4728559477719907e-04 -2.4432117490948499e+00
1.9291851991877844e+14 1.3805303512201753e-04 -2.4201266575698610e+00
1.9298809024691356e+14 1.2893332681973281e-04 -2.3937680366883738e+00
1.9305766057504872e+14 1.1994585411591477e-04 -2.3634584549729110e+00
1.9312723090318388e+14 1.1111562694783034e-04 -2.3283359241843851e+00
1.9319680123131903e+14 1.0247537645256890e-04 -2.2872961010297752e+00
1.9326637155945419e+14 9.4068549956354607e-05 -2.2389180891181168e+00
1.9333594188758934e+14 8.5953588398141986e-05 -2.1813747684025011e+00
1.9340551221572450e+14 7.8209954683566463e-05 -2.1123391236250773e+00
1.9347508254385966e+14 7.0946313420073946e-05 -2.0289251945754971e+00
1.9354465287199478e+14 6.4310662065644440e-05 -1.9277626370425072e+00
1.9361422320012994e+14 5.8500226560770889e-05 -1.8054129595807933e+00
1.9368379352826509e+14 5.3764272835809266e-05 -1.6594539828636923e+00
1.9375336385640025e+14 5.0385828954388516e-05 -1.4904463300110298e+00
1.9382293418453541e+14 4.8626390642140494e-05 -1.3041511930615619e+00
1.9389250451267056e+14 4.8639080818893061e-05 -1.1119083997924688e+00
1.9396207484080572e+14 5.0399908174729379e-05 -9.2732832750632999e-01
1.9403164516894088e+14 5.3715440358504947e-05 -7.6112110714521963e-01
1.9410121549707600e+14 5.8300423551612532e-05 -6.1827157527437593e-01
1.9417078582521116e+14 6.3862697047913008e-05 -4.9880926851058122e-01
1.9424035615334631e+14 7.0152110074506044e-05 -4.0008341576328638e-01
1.9430992648148147e+14 7.6973725101988025e-05 -3.1862055540551609e-01
1.9437949680961662e+14 8.4182416371714764e-05 -2.5110096599367110e-01
1.9444906713775178e+14 9.1672012150007304e-05 -1.9471291147795630e-01
1.9451863746588694e+14 9.9364946532710100e-05 -1.4720046242392518e-01
1.9458820779402209e+14 1.0720412761895756e-04 -1.0679595303729467e-01
1.9465777812215725e+14 1.1514702108242168e-04 -7.2125460305606015e-02
1.9472734845029238e+14 1.2316147968542907e-04 -4.2120862804182910e-02
1.9479691877842753e+14 1.3122283292323354e-04 -1.5947876564575355e-02
