["port 1",""]
["port 2",""]
["port 3",""]
["port 4",""]
("port 1","mode 1",1,"port 1",1,"transmission")
(100, 3)
1.9034441777777778e+14 5.5179035399068185e-04 -2.6357035113820375e+00
1.9041398810591294e+14 5.3871852804725337e-04 -2.6371041425824777e+00
1.9048355843404809e+14 5.2572711486380426e-04 -2.6385208696370022e+00
1.9055312876218325e+14 5.1281581723400585e-04 -2.6399538705141095e+00
1.9062269909031841e+14 4.9998433370812415e-04 -2.6414033255518747e+00
1.9069226941845353e+14 4.8723235842417569e-04 -2.6428694179613910e+00
1.9076183974658869e+14 4.7455958093946797e-04 -2.6443523343758479e+00
1.9083141007472384e+14 4.6196568607256519e-04 -2.6458522655621581e+00
1.9090098040285900e+14 4.4945035375915327e-04 -2.6473694072171927e+00
1.9097055073099416e+14 4.3701325891146750e-04 -2.6489039609052618e+00
1.9104012105912931e+14 4.2465407128694559e-04 -2.6504561351921976e+00
1.9110969138726447e+14 4.1237245537360773e-04 -2.6520261469661031e+00
1.9117926171539962e+14 4.0016807027888585e-04 -2.6536142229786286e+00
1.9124883204353475e+14 3.8804056962628828e-04 -2.6552206017037490e+00
1.9131840237166991e+14 3.7598960147386889e-04 -2.6568455355066534e+00
1.9138797269980506e+14 3.6401480822964826e-04 -2.6584892932276385e+00
1.9145754302794022e+14 3.5211582658900223e-04 -2.6601521632821425e+00
1.9152711335607538e+14 3.4029228747529700e-04 -2.6618344573141148e+00
1.9159668368421053e+14 3.2854381599563357e-04 -2.6635365146472139e+00
1.9166625401234569e+14 3.1687003140708442e-04 -2.6652587075851808e+00
1.9173582434048084e+14 3.0527054709207077e-04 -2.6670014478820745e+00
1.9180539466861597e+14 2.9374497054965548e-04 -2.6687651945871869e+00
1.9187496499675112e+14 2.8229290339291642e-04 -2.6705504636941138e+00
1.9194453532488628e+14 2.7091394136278906e-04 -2.6723578399952559e+00
1.9201410565302144e+14 2.5960767435021539e-04 -2.6741879918490739e+00
1.9208367598115659e+14 2.4837368643250603e-04 -2.6760416896497099e+00
1.9215324630929175e+14 2.3721155592076632e-04 -2.6779198291402446e+00
1.9222281663742691e+14 2.2612085541982312e-04 -2.6798234611385738e+00
1.9229238696556206e+14 2.1510115189931093e-04 -2.6817538297763424e+00
1.9236195729369719e+14 2.0415200678460164e-04 -2.6837124222796866e+00
1.9243152762183234e+14 1.9327297605225061e-04 -2.6857010345303949e+00
1.9250109794996750e+14 1.8246361035056933e-04 -2.6877218585953577e+00
1.9257066827810266e+14 1.7172345513061981e-04 -2.6897776012740402e+00
1.9264023860623781e+14 1.6105205080257747e-04 -2.6918716473199673e+00
1.9270980893437297e+14 1.5044893291876876e-04 -2.6940082882672440e+00
1.9277937926250812e+14 1.3991363238347585e-04 -2.6961930498933921e+00
1.9284894959064328e+14 1.2944567571942524e-04 -2.6984331716533734e+00
1.9291851991877844e+14 1.1904458539440567e-04 -2.7007383273749457e+00
