["port 1","LEFT"]
["port 2","LEFT"]
["port 3","RIGHT"]
["port 4","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission",0)
(102, 3)
1.9034441777777778e+14 5.1497473193584066e-03 1.8575438665416519e+00
1.9041398810591294e+14 3.9926917117086890e-03 2.0993882663983894e+00
1.9048355843404809e+14 2.7297156094880804e-03 2.2754708050745154e+00
1.9055312876218325e+14 1.4271868757256784e-03 2.2655807043509721e+00
1.9062269909031841e+14 7.4034707208107519e-04 1.0774389883533000e+00
1.9069226941845353e+14 2.0301466843122059e-03 4.3948110107070526e-01
1.9076183974658869e+14 3.8004921201342736e-03 5.0778774933358617e-01
1.9083141007472384e+14 5.7941217212854170e-03 6.8840228514627344e-01
1.9090098040285900e+14 7.9505643078523792e-03 9.1337432026817855e-01
1.9097055073099416e+14 1.0179480485846708e-02 1.1660181395396298e+00
1.9104012105912931e+14 1.2351129991361159e-02 1.4394749748730056e+00
1.9110969138726447e+14 1.4307321051837558e-02 1.7298512747661583e+00
1.9117926171539962e+14 1.5878489656473118e-02 2.0346509898226643e+00
1.9124883204353475e+14 1.6902648063459886e-02 2.3523817785935872e+00
1.9131840237166991e+14 1.7243833372165580e-02 2.6825369563109644e+00
1.9138797269980506e+14 1.6808470556168464e-02 3.0258584601443981e+00
1.9145754302794022e+14 1.5558802328330019e-02 3.3851025280172973e+00
1.9152711335607538e+14 1.3524029449672166e-02 3.7671008676778550e+00
1.9159668368421053e+14 1.0814628597296658e-02 4.1889499506762089e+00
1.9166625401234569e+14 7.6683167840573292e-03 4.7006782420602526e+00
1.9173582434048084e+14 4.7123664263518791e-03 5.4831549412337059e+00
1.9180539466861597e+14 4.0932207908858584e-03 6.8084392392118325e+00
1.9187496499675112e+14 6.7392381263363830e-03 7.7831199666697080e+00
1.9194453532488628e+14 1.0186166679127586e-02 8.3696577103981156e+00
1.9201410565302144e+14 1.3454648139012877e-02 8.8389182363246395e+00
1.9208367598115659e+14 1.6212074511622241e-02 9.2677576443308176e+00
1.9215324630929175e+14 1.8292176010169778e-02 9.6815573414603140e+00
1.9222281663742691e+14 1.9619319757093492e-02 1.0091352868872217e+01
1.9229238696556206e+14 2.0192691849116672e-02 1.0503248137634371e+01
