["port 1",""]
["port 2",""]
["port 3",""]
["port 4",""]
("port 1","mode 1",1,"port 1",1,"transmission")
(100, 3)
1.9034441777777778e+14 5.5494881646195955e-04 -2.6357406054839752e+00
1.9041398810591294e+14 5.4182160023278129e-04 -2.6371322146585734e+00
1.9048355843404809e+14 5.2877431203311265e-04 -2.6385399337567450e+00
1.9055312876218325e+14 5.1580666366615247e-04 -2.6399639398713739e+00
1.9062269909031841e+14 5.0291836221096195e-04 -2.6414044119295048e+00
1.9069226941845353e+14 4.9010910984050732e-04 -2.6428615311731889e+00
1.9076183974658869e+14 4.7737860364768613e-04 -2.6443354816847808e+00
1.9083141007472384e+14 4.6472653547953744e-04 -2.6458264510724234e+00
1.9090098040285900e+14 4.5215259178163649e-04 -2.6473346312374950e+00
1.9097055073099416e+14 4.3965645345700629e-04 -2.6488602192818247e+00
1.9104012105912931e+14 4.2723779572766558e-04 -2.6504034186070244e+00
1.9110969138726447e+14 4.1489628801648430e-04 -2.6519644401973639e+00
1.9117926171539962e+14 4.0263159383224865e-04 -2.6535435041174900e+00
1.9124883204353475e+14 3.9044337066696612e-04 -2.6551408413222122e+00
1.9131840237166991e+14 3.7833126991278481e-04 -2.6567566957708912e+00
1.9138797269980506e+14 3.6629493677717355e-04 -2.6583913269449977e+00
1.9145754302794022e+14 3.5433401022330911e-04 -2.6600450128743680e+00
1.9152711335607538e+14 3.4244812291398761e-04 -2.6617180537018621e+00
1.9159668368421053e+14 3.3063690116869293e-04 -2.6634107760306032e+00
1.9166625401234569e+14 3.1889996493735190e-04 -2.6651235381001510e+00
1.9173582434048084e+14 3.0723692778122751e-04 -2.6668567361090454e+00
1.9180539466861597e+14 2.9564739687058518e-04 -2.6686108118785388e+00
1.9187496499675112e+14 2.8413097299043009e-04 -2.6703862622832713e+00
1.9194453532488628e+14 2.7268725056442796e-04 -2.6721836508366610e+00
1.9201410565302144e+14 2.6131581768588545e-04 -2.6740036221252552e+00
1.9208367598115659e+14 2.5001625616688251e-04 -2.6758469198615940e+00
1.9215324630929175e+14 2.3878814159605089e-04 -2.6777144096757435e+00
1.9222281663742691e+14 2.2763104341333207e-04 -2.6796071081723896e+00
1.9229238696556206e+14 2.1654452499535241e-04 -2.6815262203176160e+00
1.9236195729369719e+14 2.0552814375735415e-04 -2.6834731881062615e+00
1.9243152762183234e+14 1.9458145127006349e-04 -2.6854497546661724e+00
1.9250109794996750e+14 1.8370399339098025e-04 -2.6874580498440710e+00
1.9257066827810266e+14 1.7289531041640290e-04 -2.6895007061319545e+00
1.9264023860623781e+14 1.6215493725258670e-04 -2.6915810182936086e+00
1.9270980893437297e+14 1.5148240361720277e-04 -2.6937031671726661e+00
1.9277937926250812e+14 1.4087723426536522e-04 -2.6958725400157943e+00
1.9284894959064328e+14 1.3033894927437866e-04 -2.6980961995176114e+00
1.9291851991877844e+14 1.1986706438388427e-04 -2.7003835890173886e+00
1.9298809024691356e+14 1.0946109144801717e-04 -2.7027476251622340e+00
1.9305766057504872e+14 9.9120539054484778e-05 -2.7052064516749428e+00
1.9312723090318388e+14 8.8844913441572440e-05 -2.7077863729445388e+00
1.9319680123131903e+14 7.8633719967434091e-05 -2.7105270106122932e+00
1.9326637155945419e+14 6.8486465681707654e-05 -2.7134909325330812e+00
1.9333594188758934e+14 5.8402664299110736e-05 -2.7167830443562146e+00
1.9340551221572450e+14 4.8381846970905184e-05 -2.7205936383551004e+00
1.9347508254385966e+14 3.8423589222831769e-05 -2.7253073653283435e+00
1.9354465287199478e+14 2.8527592794167974e-05 -2.7318362481232001e+00
1.9361422320012994e+14 1.8694022728239623e-05 -2.7429940743409444e+00
1.9368379352826509e+14 8.9260438443545171e-06 -2.7738390061398079e+00
1.9375336385640025e+14 9.4001026537760217e-07 -5.3143109981743848e+00
1.9382293418453541e+14 1.0468734368797613e-05 -5.8180023801393643e+00
1.9389250451267056e+14 2.0059139090770394e-05 -5.8425779442055985e+00
1.9396207484080572e+14 2.9594462639582383e-05 -5.8526478643069879e+00
1.9403164516894088e+14 3.9072626399250234e-05 -5.8588773763810753e+00
1.9410121549707600e+14 4.8493609689365825e-05 -5.8635415056385032e+00
1.9417078582521116e+14 5.7857759133593482e-05 -5.8674194583194232e+00
1.9424035615334631e+14 6.7165529654209324e-05 -5.8708503723443046e+00
1.9430992648148147e+14 7.6417417513399420e-05 -5.8740055062634235e+00
1.9437949680961662e+14 8.5613937413857416e-05 -5.8769806457951539e+00
1.9444906713775178e+14 9.4755613068400702e-05 -5.8798335268674258e+00
1.9451863746588694e+14 1.0384297274863243e-04 -5.8826010002523157e+00
